name,group,legal,rlg,f,r,n
species_1,tree,no,no,5,7,6
species_2,tree,no,no,NA,NA,NA
species_3,tree,no,no,6,NA,7
species_4,herb,no,no,4,NA,5
species_5,herb,no,V,2,5,1
species_6,herb,no,no,6,7,8
species_7,herb,no,no,4,8,4
species_8,sub-grass,no,no,NA,4,4
species_9,top-grass,no,no,8,7,6
species_10,sub-grass,no,no,NA,NA,5
species_11,herb,no,no,6,6,6
species_12,herb,no,no,NA,NA,NA
species_13,herb,no,3,3,8,2
species_14,herb,no,no,3,7,4
species_15,herb,no,no,NA,NA,NA
species_16,herb,no,no,7,7,7
species_17,herb,no,no,4,NA,7
species_18,grass,no,no,5,7,6
species_19,top-grass,no,no,6,6,7
species_20,herb,no,no,5,7,7
species_21,herb,no,no,5,NA,6
species_22,herb,no,no,8,NA,NA
species_23,herb,BG,V,3,7,3
species_24,sub-grass,no,no,NA,5,NA
species_25,herb,no,no,5,NA,8
species_26,legume,no,no,3,7,2
species_27,grass,no,no,6,5,NA
species_28,herb,no,V,4,8,NA
species_29,herb,no,no,4,7,NA
species_30,top-grass,no,no,5,7,7
species_31,herb,no,no,6,NA,8
species_32,herb,no,V,3,8,3
species_33,legume,no,no,4,7,3
species_34,grass,no,no,5,7,NA
species_35,herb,no,no,6,NA,6
species_36,herb,no,no,5,NA,6
species_37,top-grass,no,no,4,7,4
species_38,herb,no,no,NA,NA,NA
species_39,herb,no,no,NA,NA,NA
species_40,herb,no,no,NA,NA,NA
species_41,sub-grass,no,no,NA,NA,2
species_42,top-grass,no,no,3,8,3
species_43,top-grass,no,no,NA,NA,3
species_44,top-grass,no,no,4,8,5
species_45,grass,no,no,NA,5,NA
species_46,sub-grass,no,no,4,NA,5
species_47,herb,no,no,5,8,5
species_48,herb,no,no,4,8,3
species_49,top-grass,no,no,NA,NA,6
species_50,herb,no,no,6,7,9
species_51,herb,no,3,4,7,NA
species_52,herb,no,V,5,7,5
species_53,herb,no,no,4,7,4
species_54,herb,no,no,NA,NA,2
species_55,herb,no,no,6,8,8
species_56,herb,no,no,5,NA,6
species_57,herb,no,no,5,5,7
species_58,herb,no,no,4,8,7
species_59,sedge,no,no,9,7,5
species_60,sedge,no,V,4,NA,2
species_61,sedge,no,no,5,NA,4
species_62,sedge,no,3,7,9,NA
species_63,sedge,no,no,6,8,NA
species_64,sedge,no,no,6,NA,5
species_65,sedge,no,no,7,3,3
species_66,sedge,no,no,4,6,3
species_67,sedge,no,no,4,NA,6
species_68,sedge,no,V,8,NA,4
species_69,sedge,no,D,3,NA,4
species_70,sedge,no,V,3,NA,4
species_71,sedge,no,no,NA,NA,NA
species_72,sedge,no,no,5,6,5
species_73,herb,no,no,4,7,3
species_74,herb,no,no,5,NA,6
species_75,herb,no,no,NA,NA,NA
species_76,herb,no,no,3,8,4
species_77,herb,no,no,NA,NA,NA
species_78,herb,no,no,2,8,3
species_79,herb,BG,no,5,6,6
species_80,herb,no,no,4,6,4
species_81,herb,no,no,5,NA,5
species_82,herb,no,no,5,5,5
species_83,herb,no,no,7,8,8
species_84,herb,no,no,4,NA,7
species_85,herb,no,no,4,NA,7
species_86,herb,no,no,4,8,5
species_87,herb,no,no,NA,NA,7
species_88,herb,no,no,7,8,5
species_89,herb,no,no,8,4,3
species_90,herb,no,no,5,7,8
species_91,herb,no,no,4,7,3
species_92,herb,no,no,6,7,NA
species_93,herb,no,3,5,8,5
species_94,herb,no,no,4,7,NA
species_95,shrub,no,no,5,7,NA
species_96,herb,no,no,3,6,4
species_97,shrub,no,no,4,8,4
species_98,herb,no,no,5,6,5
species_99,herb,no,no,5,6,4
species_100,herb,no,V,NA,NA,NA
species_101,sub-grass,no,no,4,NA,5
species_102,sub-grass,no,no,5,NA,4
species_103,top-grass,no,no,5,NA,6
species_104,herb,no,no,4,NA,4
species_105,top-grass,no,no,7,NA,3
species_106,herb,BG,V,3,7,2
species_107,herb,BG,V,3,3,2
species_108,herb,no,no,6,8,7
species_109,grass,no,no,5,NA,8
species_110,herb,no,no,4,8,4
species_111,top-grass,no,no,NA,NA,7
species_112,herb,no,V,8,4,4
species_113,herb,no,no,9,8,6
species_114,herb,no,no,NA,NA,NA
species_115,herb,no,no,6,NA,3
species_116,grass,no,no,3,NA,4
species_117,herb,no,no,6,NA,8
species_118,herb,no,no,4,NA,5
species_119,herb,BG,no,NA,NA,2
species_120,herb,no,no,5,7,7
species_121,shrub,no,no,5,8,5
species_122,herb,no,no,5,8,5
species_123,herb,no,no,3,NA,3
species_124,herb,no,no,4,8,NA
species_125,herb,no,no,5,7,7
species_126,herb,no,V,3,9,3
species_127,herb,no,no,3,9,NA
species_128,herb,no,no,5,NA,6
species_129,top-grass,no,no,7,7,4
species_130,sub-grass,no,no,2,NA,1
species_131,top-grass,no,no,6,NA,6
species_132,sub-grass,no,no,6,6,NA
species_133,grass,no,no,NA,NA,NA
species_134,herb,no,no,8,NA,4
species_135,herb,no,3,3,8,2
species_136,herb,no,no,5,NA,6
species_137,herb,no,no,3,8,3
species_138,herb,no,no,5,6,7
species_139,herb,no,no,5,NA,6
species_140,herb,no,no,NA,6,8
species_141,herb,no,D,4,7,NA
species_142,herb,no,no,9,NA,4
species_143,herb,no,no,4,7,3
species_144,herb,no,no,5,8,5
species_145,herb,no,no,4,5,4
species_146,herb,no,no,5,8,7
species_147,herb,no,no,4,NA,7
species_148,herb,no,no,5,7,8
species_149,herb,no,no,5,NA,7
species_150,herb,no,no,6,NA,7
species_151,herb,no,3,3,7,1
species_152,herb,no,no,NA,NA,NA
species_153,herb,no,no,6,7,8
species_154,top-grass,no,no,NA,NA,4
species_155,herb,no,no,5,NA,8
species_156,legume,no,V,3,7,2
species_157,sub-grass,no,no,6,NA,4
species_158,grass,no,no,NA,NA,NA
species_159,herb,no,no,4,6,3
species_160,herb,no,no,5,4,3
species_161,herb,no,V,6,9,2
species_162,herb,no,no,9,NA,7
species_163,herb,no,no,NA,NA,NA
species_164,herb,no,no,4,7,5
species_165,herb,no,no,4,NA,4
species_166,sub-grass,no,V,4,7,2
species_167,herb,no,no,4,NA,4
